CPU,Compiler,Opt,N,Threads,Schedule,Chunk,Align,Restrict,Time_Min_s,Time_Mean_s,GFLOPS_Min,GFLOPS_Mean,SIMD_Ops,FMA,AlignedMov,UnalignedMov,Status
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,1,static,,1,1,87.393098,87.7793,5.307,5.284,1,0,0,57,19,REF
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,1,dynamic,16,1,1,87.940359,88.5843,5.274,5.236,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,1,guided,8,1,1,89.161624,89.711,5.202,5.170,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,4,static,,1,1,23.140550,23.192,20.045,20.000,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,4,dynamic,16,1,1,22.982081,23.1204,20.183,20.062,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,4,guided,8,1,1,23.047414,23.1911,20.126,20.001,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,8,static,,1,1,21.671570,21.691,21.403,21.384,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,8,dynamic,16,1,1,16.103572,16.1181,28.804,28.778,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,8,guided,8,1,1,16.143990,16.1467,28.732,28.727,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,16,static,,1,1,17.520191,17.5981,26.475,26.358,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,16,dynamic,16,1,1,12.519953,12.5605,37.049,36.929,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,6144,16,guided,8,1,1,12.479985,12.5,37.168,37.108,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,1,static,,1,1,213.258264,213.424,5.155,5.151,1,0,0,57,19,REF
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,1,dynamic,16,1,1,211.700530,212.541,5.193,5.173,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,1,guided,8,1,1,212.365828,212.933,5.177,5.163,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,4,static,,1,1,54.297371,54.5267,20.249,20.164,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,4,dynamic,16,1,1,54.261690,54.5093,20.263,20.171,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,4,guided,8,1,1,54.701468,54.749,20.100,20.082,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,8,static,,1,1,52.061282,52.1417,21.119,21.086,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,8,dynamic,16,1,1,38.714701,38.865,28.400,28.290,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,8,guided,8,1,1,38.660126,38.7373,28.440,28.383,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,16,static,,1,1,41.981784,42.054,26.190,26.145,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,16,dynamic,16,1,1,29.830199,29.8406,36.859,36.846,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,8192,16,guided,8,1,1,29.943994,29.9927,36.718,36.659,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,1,static,,1,1,415.789852,416.603,5.164,5.154,1,0,0,57,19,REF
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,1,dynamic,16,1,1,414.581822,414.993,5.179,5.174,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,4,static,,1,1,106.274625,106.612,20.206,20.142,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,4,dynamic,16,1,1,106.732211,107.17,20.120,20.038,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,4,guided,8,1,1,106.281079,106.693,20.205,20.127,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,8,static,,1,1,102.349820,102.396,20.981,20.972,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,8,dynamic,16,1,1,76.267543,76.3977,28.157,28.109,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,8,guided,8,1,1,76.364141,76.4767,28.121,28.080,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,16,static,,1,1,82.459624,82.5727,26.042,26.007,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,16,dynamic,16,1,1,58.375693,58.5157,36.787,36.699,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,16,guided,8,1,1,58.812813,58.8397,36.513,36.497,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,4,static,,1,1,183.867172,184.992,20.182,20.059,1,0,0,57,19,REF
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,4,dynamic,16,1,1,185.076980,187.802,20.050,19.759,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,4,guided,8,1,1,183.138486,186.256,20.262,19.923,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,8,static,,1,1,177.404330,177.485,20.917,20.907,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,8,dynamic,16,1,1,131.860741,132.138,28.142,28.083,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,8,guided,8,1,1,132.522996,132.543,28.001,27.997,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,16,static,,1,1,142.917258,143.034,25.965,25.943,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,16,dynamic,16,1,1,101.110096,101.619,36.701,36.517,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,16,guided,8,1,1,101.541530,101.708,36.545,36.485,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,4,static,,1,1,336.418624,346.227,20.064,19.495,1,0,0,57,19,REF
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,4,dynamic,16,1,1,336.970940,337.127,20.031,20.022,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,4,guided,8,1,1,336.721106,337.367,20.046,20.007,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,8,static,,1,1,320.268548,320.318,21.076,21.072,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,8,dynamic,16,1,1,242.398249,244.988,27.846,27.552,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,8,guided,8,1,1,240.530381,240.623,28.062,28.052,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,16,static,,1,1,258.749566,259.021,26.087,26.059,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,16,dynamic,16,1,1,184.848642,185.352,36.516,36.417,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,16,guided,8,1,1,184.608543,184.778,36.563,36.530,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,4,static,,1,1,22.756711,22.7893,20.383,20.354,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,4,dynamic,16,1,1,22.758119,23.9927,20.382,19.333,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,4,guided,8,1,1,22.820748,22.8293,20.326,20.318,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,8,static,,1,1,21.531076,21.5356,21.543,21.539,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,8,dynamic,16,1,1,16.106847,16.18,28.798,28.668,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,8,guided,8,1,1,16.115334,16.1251,28.783,28.766,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,16,static,,1,1,16.937036,16.9731,27.387,27.328,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,16,dynamic,16,1,1,11.802639,11.8035,39.301,39.298,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,16,guided,8,1,1,11.868805,11.8835,39.081,39.033,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,4,static,,1,1,54.008823,54.344,20.358,20.232,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,4,dynamic,16,1,1,53.878688,54.0783,20.407,20.331,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,4,guided,8,1,1,53.550739,54.3133,20.532,20.243,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,8,static,,1,1,51.911397,51.953,21.180,21.163,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,8,dynamic,16,1,1,38.990279,39.024,28.199,28.175,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,8,guided,8,1,1,38.890660,38.9477,28.271,28.230,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,16,static,,1,1,40.553684,40.587,27.112,27.090,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,16,dynamic,16,1,1,28.198364,28.2043,38.992,38.983,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,16,guided,8,1,1,28.448575,28.513,38.649,38.561,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,4,static,,1,1,104.724559,104.858,20.506,20.479,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,4,dynamic,16,1,1,104.724114,105.115,20.506,20.429,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,4,guided,8,1,1,104.870253,104.995,20.477,20.453,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,8,static,,1,1,103.127739,103.318,20.823,20.785,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,8,dynamic,16,1,1,75.826464,76.0137,28.321,28.251,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,8,guided,8,1,1,76.166051,76.2137,28.194,28.177,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,16,static,,1,1,79.624464,79.6463,26.970,26.962,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,16,dynamic,16,1,1,53.685669,53.822,40.001,39.899,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,16,guided,8,1,1,53.950623,54.011,39.804,39.760,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,static,,1,1,181.786770,181.953,20.413,20.394,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,dynamic,16,1,1,181.916983,182.506,20.398,20.332,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,guided,8,1,1,181.853802,181.942,20.405,20.395,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,static,,1,1,176.868930,177.098,20.980,20.953,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,dynamic,16,1,1,131.910258,132.409,28.131,28.025,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,guided,8,1,1,131.894129,132.06,28.135,28.099,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,static,,1,1,137.948311,137.984,26.900,26.893,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,dynamic,16,1,1,95.647720,96.5897,38.797,38.418,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,guided,8,1,1,96.612667,96.7203,38.409,38.366,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,static,,1,1,334.057082,338.67,20.206,19.930,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,dynamic,16,1,1,331.955703,345.883,20.334,19.515,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,guided,8,1,1,330.013667,351.587,20.453,19.198,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,static,,1,1,323.407474,323.773,20.871,20.847,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,dynamic,16,1,1,239.747505,239.979,28.154,28.127,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,guided,8,1,1,239.091451,239.265,28.231,28.211,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,static,,1,1,248.520807,248.973,27.160,27.111,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,dynamic,16,1,1,169.886282,170.462,39.732,39.598,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,guided,8,1,1,169.425283,169.552,39.840,39.810,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,1,guided,8,1,1,415.541982,416.39,5.167,5.157,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,static,,1,1,719.640763,720.513,5.156,5.150,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,dynamic,16,1,1,719.428272,720.36,5.158,5.151,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,guided,8,1,1,718.300480,718.767,5.166,5.162,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,static,,1,1,1305.378892,1305.4,5.170,5.170,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,dynamic,16,1,1,1306.882693,1308.7,5.164,5.157,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,guided,8,1,1,1306.670190,1309.88,5.165,5.153,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,static,,1,1,88.480992,88.5127,5.242,5.240,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,dynamic,16,1,1,88.454494,88.4987,5.244,5.241,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,guided,8,1,1,88.443336,88.4593,5.244,5.243,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,static,,1,1,209.241762,209.681,5.254,5.243,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,dynamic,16,1,1,209.243819,209.286,5.254,5.253,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,guided,8,1,1,209.230068,209.26,5.255,5.254,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,static,,1,1,406.330822,406.7,5.285,5.280,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,dynamic,16,1,1,406.215253,406.743,5.286,5.279,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,guided,8,1,1,406.197213,406.373,5.286,5.284,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,static,,1,1,708.188613,709.15,5.239,5.232,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,dynamic,16,1,1,405.250825,405.43,5.299,5.296,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,dynamic,16,1,1,707.638968,708.823,5.243,5.235,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,guided,8,1,1,708.346362,709.17,5.238,5.232,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,static,,1,1,1273.582944,1274.85,5.300,5.294,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,dynamic,16,1,1,1274.223983,1274.74,5.297,5.295,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,guided,8,1,1,1273.938221,1275.11,5.298,5.293,27,0,0,84,53,PASS
